10.1.1.3. Daily average allocated time of the population aged 15–74 by age groups and sex [minute/head];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Activity;15–19 year-old males 1986/1987;15–19 year-old males 1999/2000;15–19 year-old males 2009/2010;15–19 year-old males 2024/2025;15–19 year-old females 1986/1987;15–19 year-old females 1999/2000;15–19 year-old females 2009/2010;15–19 year-old females 2024/2025;15–19 year-old total 1986/1987;15–19 year-old total 1999/2000;15–19 year-old total 2009/2010;15–19 year-old total 2024/2025;20–29 year-old males 1986/1987;20–29 year-old males 1999/2000;20–29 year-old males 2009/2010;20–29 year-old males 2024/2025;20–29 year-old females 1986/1987;20–29 year-old females 1999/2000;20–29 year-old females 2009/2010;20–29 year-old females 2024/2025;20–29 year-old total 1986/1987;20–29 year-old total 1999/2000;20–29 year-old total 2009/2010;20–29 year-old total 2024/2025;30–39 year-old males 1986/1987;30–39 year-old males 1999/2000;30–39 year-old males 2009/2010;30–39 year-old males 2024/2025;30–39 year-old females 1986/1987;30–39 year-old females 1999/2000;30–39 year-old females 2009/2010;30–39 year-old females 2024/2025;30–39 year-old total 1986/1987;30–39 year-old total 1999/2000;30–39 year-old total 2009/2010;30–39 year-old total 2024/2025;40–49 year-old males 1986/1987;40–49 year-old males 1999/2000;40–49 year-old males 2009/2010;40–49 year-old males 2024/2025;40–49 year-old females 1986/1987;40–49 year-old females 1999/2000;40–49 year-old females 2009/2010;40–49 year-old females 2024/2025;40–49 year-old total 1986/1987;40–49 year-old total 1999/2000;40–49 year-old total 2009/2010;40–49 year-old total 2024/2025;50–59 year-old males 1986/1987;50–59 year-old males 1999/2000;50–59 year-old males 2009/2010;50–59 year-old males 2024/2025;50–59 year-old females 1986/1987;50–59 year-old females 1999/2000;50–59 year-old females 2009/2010;50–59 year-old females 2024/2025;50–59 year-old total 1986/1987;50–59 year-old total 1999/2000;50–59 year-old total 2009/2010;50–59 year-old total 2024/2025;60–74 year-old males 1986/1987;60–74 year-old males 1999/2000;60–74 year-old males 2009/2010;60–74 year-old males 2024/2025;60–74 year-old females 1986/1987;60–74 year-old females 1999/2000;60–74 year-old females 2009/2010;60–74 year-old females 2024/2025;60–74 year-old total 1986/1987;60–74 year-old total 1999/2000;60–74 year-old total 2009/2010;60–74 year-old total 2024/2025
laundry, ironing;1;0;1;1;15;7;5;3;8;3;3;2;1;1;0;1;42;22;15;6;21;11;7;3;1;1;1;1;42;35;25;11;21;18;13;6;1;1;1;2;40;34;27;15;21;18;15;9;1;1;2;3;35;30;23;15;19;17;13;9;2;2;1;2;29;24;21;15;17;15;13;9
sewing, mending clothing;0;–;0;..;13;1;0;..;6;0;0;..;0;–;0;..;14;2;0;..;7;1;0;..;0;0;0;..;12;3;2;..;6;1;1;..;0;0;0;..;11;3;2;..;6;1;1;..;0;0;0;..;16;5;3;..;9;3;2;..;1;0;0;..;19;7;5;..;11;4;3;..
works around the house;7;10;11;4;2;2;3;2;5;6;7;3;12;11;11;11;5;4;6;2;8;7;8;7;14;20;28;11;6;6;7;2;10;13;17;7;19;22;31;15;8;6;10;5;13;14;21;10;23;25;40;20;12;9;11;9;17;17;25;14;35;37;47;34;18;16;19;17;25;24;31;25
repair, maintenance of building, premise;5;2;2;1;1;1;0;0;3;1;1;1;13;6;6;4;4;1;1;2;9;4;3;3;15;9;12;8;3;3;2;0;9;6;7;4;12;8;6;4;4;2;3;0;8;5;4;2;11;8;7;6;3;1;1;1;7;4;3;4;8;7;3;5;3;2;1;1;5;4;2;2
other repair, maintenance (car, household appliance);9;5;2;1;0;0;0;0;5;3;1;1;11;9;4;2;0;0;1;0;5;5;3;1;12;10;5;5;0;0;0;1;6;5;2;3;13;11;7;6;1;0;0;0;6;5;4;3;8;8;8;4;0;0;0;0;4;4;4;2;6;8;8;9;0;0;0;1;3;3;3;4
Shopping, commercial and administrative services;10;10;10;12;16;14;11;15;13;12;10;13;12;14;14;21;24;23;22;30;18;18;18;25;14;16;16;25;27;28;24;32;21;22;20;29;14;16;19;26;26;31;26;37;20;24;23;32;15;20;21;26;26;30;26;37;21;25;24;32;19;23;22;31;24;27;26;36;21;25;24;34
Of which:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shopping;7;6;8;9;12;10;8;13;10;8;8;11;7;9;10;18;18;16;18;25;13;13;14;21;9;11;12;20;20;22;20;27;15;16;16;23;9;10;13;22;20;23;22;30;15;17;18;26;9;12;15;20;19;23;21;28;15;18;18;24;13;15;19;25;18;20;21;27;16;18;20;26
Childcare (own child);0;3;5;0;9;4;16;2;4;3;10;1;16;10;10;16;93;52;60;56;54;30;35;35;24;34;39;46;50;75;106;109;36;54;72;77;7;13;20;28;8;18;22;46;8;15;21;37;1;5;7;5;2;8;15;6;1;7;11;6;1;4;9;2;1;4;10;2;1;4;10;2
Physical care and supervision;0;1;1;0;7;2;9;1;4;2;5;1;6;3;5;8;68;29;40;33;36;16;22;20;8;8;12;20;30;32;54;60;19;20;33;39;2;2;5;10;3;6;7;20;3;4;6;15;0;1;1;2;1;3;4;2;1;2;2;2;1;1;1;1;0;1;2;1;0;1;2;1
Reading, playing;0;2;3;0;1;1;6;1;1;1;5;0;10;6;6;7;21;19;18;20;15;13;12;13;11;21;22;22;9;24;35;35;10;22;28;28;3;6;10;12;1;5;7;12;2;6;8;12;0;3;4;1;0;5;9;1;0;4;7;1;0;3;7;1;0;2;7;1;0;3;7;1
Joint learning;–;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;3;3;1;1;2;2;1;1;4;5;4;1;10;18;13;7;7;12;8;4;3;4;4;3;4;7;6;8;3;5;5;6;1;1;2;0;0;1;1;2;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Transport;89;76;97;106;77;77;76;113;83;76;87;109;83;82;90;106;61;71;76;88;73;77;83;97;72;67;74;91;58;60;64;83;65;64;69;87;69;62;74;97;56;54;68;82;63;58;71;90;65;55;64;93;49;48;55;84;56;52;59;88;49;44;44;75;37;36;43;66;42;39;44;69
Physiologically fixed activities;677;693;723;679;690;703;724;688;683;698;724;683;647;658;706;628;652;677;710;661;650;668;708;644;635;658;686;627;636;645;680;634;635;652;683;630;647;658;692;625;636;650;674;623;642;654;683;624;672;692;722;614;679;684;708;618;676;688;715;616;763;759;787;668;747;740;762;660;754;748;772;663
Of which:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sleeping;533;542;541;540;547;554;545;529;540;548;543;535;499;502;510;487;513;524;525;510;506;513;518;498;485;493;486;481;493;496;493;489;489;495;490;485;489;490;483;474;489;494;484;478;489;492;484;476;501;505;496;463;518;514;498;468;510;510;497;465;557;545;536;486;565;552;533;493;562;549;534;490
meals;80;82;91;78;78;77;87;76;79;80;89;77;81;86;101;78;80;81;93;79;80;83;97;79;84;89;103;85;81;84;98;81;83;87;101;83;84;88;104;86;80;84;93;79;82;86;98;83;84;90;109;83;81;85;100;79;83;88;104;81;89;94;114;106;80;86;101;93;84;89;106;99
dressing, personal hygiene;50;55;75;61;54;61;78;82;52;58;76;71;52;59;78;61;46;59;74;72;49;59;76;66;50;58;76;59;47;53;70;64;49;55;73;61;51;56;78;62;49;55;74;64;50;56;76;63;51;58;74;65;47;55;73;67;48;56;73;66;46;57;76;70;43;51;70;71;44;54;73;70
Leisure activities;314;348;316;354;270;293;305;308;293;321;311;331;253;300;305;303;203;249;243;263;228;275;274;284;224;259;246;248;178;205;193;210;202;232;220;230;222;282;250;270;172;220;201;223;196;250;225;247;230;304;285;283;209;260;249;245;219;281;266;264;294;365;367;373;261;324;306;373;275;341;331;373
Of which:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
leasure time spent socially;73;74;74;59;70;67;85;60;72;71;79;59;72;79;76;45;51;56;59;58;62;68;68;52;51;48;45;45;40;36;38;35;45;42;41;40;50;48;38;45;38;34;36;42;44;41;37;43;49;52;36;36;43;37;39;39;46;44;38;38;63;53;45;41;56;42;46;47;59;47;46;45
religious activities;0;1;0;3;1;1;0;1;0;1;0;2;0;0;0;1;1;1;2;2;0;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;0;1;1;3;1;1;1;2;0;1;1;2;1;2;2;1;2;2;3;4;1;2;2;2;1;3;2;1;5;6;3;4;4;5;3;3
